N,종목명,현재가,전일비,등락률,액면가,시가총액,상장주식수,외국인비율,거래량,PER,ROE
1,삼성전자,"74,000","1,100",-1.46%,100,"4,417,639","5,969,783",52.20,"17,525,149",14.34,9.99,
2,SK하이닉스,"118,000","1,000",-0.84%,"5,000","859,043","728,002",49.64,"5,659,327",10.67,9.53,
3,삼성전자우,"67,500",700,-1.03%,100,"555,449","822,887",74.97,"1,640,662",13.08,N/A,
4,NAVER,"322,000","6,500",-1.98%,100,"528,238","164,049",55.38,"797,627",3.19,15.22,
5,삼성바이오로직스,"780,000","31,000",-3.82%,"2,500","516,087","66,165",10.83,"103,405",125.73,N/A,
6,LG화학,"643,000","28,000",-4.17%,"5,000","453,909","70,592",49.01,"348,106",16.76,2.93,
7,삼성SDI,"642,000","40,000",-5.87%,"5,000","441,468","68,765",45.21,"458,424",40.27,4.54,
8,현대차,"194,500","2,500",-1.27%,"5,000","415,585","213,668",28.32,"1,167,431",9.86,2.04,
9,카카오,"87,600","2,400",-2.67%,100,"390,614","445,906",28.98,"2,791,403",34.49,2.70,
10,기아,"76,500","2,500",-3.16%,"5,000","310,103","405,363",35.17,"2,419,323",6.93,5.05,
11,KB금융,"57,100","1,700",-2.89%,"5,000","237,426","415,808",71.00,"1,692,619",5.46,8.53,
12,POSCO,"266,500","8,000",-2.91%,"5,000","232,353","87,187",52.64,"441,367",3.99,3.61,
13,현대모비스,"233,000","2,000",-0.85%,"5,000","220,355","94,573",34.35,"298,188",9.38,4.66,
14,셀트리온,"158,500","8,000",-4.80%,"1,000","218,646","137,947",20.54,"811,654",40.33,16.68,
15,SK이노베이션,"234,500","13,000",-5.25%,"5,000","216,832","92,466",24.02,"706,521","-6,897.06",-13.58,
16,LG전자,"131,000","3,000",-2.24%,"5,000","214,379","163,648",28.94,"1,435,507",18.90,13.23,
17,삼성물산,"107,500","2,000",-1.83%,100,"200,904","186,887",15.43,"301,848",12.23,3.81,
18,신한지주,"37,700",650,-1.69%,"5,000","194,758","516,600",61.43,"1,305,097",5.00,8.20,
19,카카오뱅크,"40,250","1,750",-4.17%,"5,000","191,252","475,159",15.16,"2,203,175",130.26,5.08,
20,카카오페이,"137,500","9,000",-6.14%,500,"181,339","131,883",42.74,"305,388",-684.08,-17.97,
21,SK,"224,000","5,500",-2.40%,200,"166,094","74,149",21.70,"206,849",26.18,1.11,
22,LG생활건강,"952,000","17,000",-1.75%,"5,000","148,685","15,618",42.44,"66,472",19.81,17.92,
23,크래프톤,"291,000","11,000",-3.64%,100,"142,494","48,967",30.12,"459,786",22.81,61.86,
24,삼성전기,"177,500","5,000",-2.74%,"5,000","132,581","74,694",30.24,"823,484",13.64,10.92,
25,한국전력,"20,650",350,-1.67%,"5,000","132,566","641,964",14.40,"1,732,300",-12.17,2.91,
26,SK바이오사이언스,"172,000","6,000",-3.37%,500,"131,580","76,500",5.50,"468,845",66.23,13.25,
27,하나금융지주,"43,100","1,250",-2.82%,"5,000","129,404","300,242",69.20,"1,366,152",4.03,8.96,
28,SK텔레콤,"56,300",0,0.00%,100,"123,203","218,833",44.85,"680,385",8.73,6.44,
29,삼성생명,"61,500","2,300",-3.61%,500,"123,000","200,000",12.59,"425,051",7.86,3.53,
30,엔씨소프트,"558,000","9,000",-1.59%,500,"122,503","21,954",43.48,"177,790",34.45,20.83,
31,LG,"74,400","2,200",-2.87%,"5,000","117,032","157,301",36.15,"428,446",4.91,7.50,
32,삼성에스디에스,"145,000","5,000",-3.33%,500,"112,198","77,378",11.32,"105,986",16.51,6.71,
33,하이브,"271,000","6,000",-2.17%,500,"112,068","41,353",16.19,"178,627",96.41,12.52,
34,HMM,"22,150","1,650",-6.93%,"5,000","108,322","489,039",10.38,"3,986,316",2.79,8.93,
35,KT&G,"78,300",300,-0.38%,"5,000","107,500","137,292",35.73,"429,454",9.03,13.22,
36,SK아이이테크놀로지,"143,000","4,000",-2.72%,"1,000","101,956","71,298",11.01,"531,720",94.02,11.00,
37,우리금융지주,"14,000",500,-3.45%,"5,000","101,928","728,061",31.41,"3,296,250",4.28,5.87,
38,넷마블,"117,500","1,000",-0.84%,100,"100,995","85,954",22.78,"383,925",43.45,6.35,
39,고려아연,"517,000","11,000",-2.08%,"5,000","97,558","18,870",18.21,"53,584",12.93,8.37,
40,S-Oil,"86,300","3,300",-3.68%,"2,500","97,159","112,583",77.88,"349,027",8.31,-13.07,
41,삼성화재,"203,500","5,000",-2.40%,500,"96,408","47,375",48.37,"79,704",8.80,4.96,
42,포스코케미칼,"120,000","4,000",-3.23%,500,"92,956","77,463",6.39,"318,967",67.00,2.96,
43,대한항공,"26,250",650,-2.42%,"5,000","91,303","347,821",11.75,"1,575,357",12.33,-7.22,
44,두산중공업,"17,200",800,-4.44%,"5,000","89,822","522,222",7.33,"4,228,031",51.04,-37.20,
45,아모레퍼시픽,"150,500","4,000",-2.59%,500,"88,032","58,493",29.88,"222,348",58.04,0.78,
46,현대중공업,"97,700","3,800",-3.74%,"5,000","86,731","88,773",2.24,"267,338",-10.66,-7.86,
47,LG이노텍,"349,000","11,000",-3.06%,"5,000","82,598","23,667",24.12,"477,663",11.06,10.20,
48,SK스퀘어,"56,700","2,500",-4.22%,100,"80,212","141,468",37.67,"1,842,094",N/A,N/A,
49,KT,"30,550","1,100",-3.48%,"5,000","79,770","261,112",44.17,"1,040,049",7.81,4.76,
50,LG디스플레이,"21,250",300,-1.39%,"5,000","76,036","357,816",18.93,"3,580,440",4.82,-0.79,
51,기업은행,"10,150",150,-1.46%,"5,000","75,546","744,301",13.20,"2,114,393",3.76,6.44,
52,롯데케미칼,"200,000","7,000",-3.38%,"5,000","68,551","34,275",25.08,"159,775",5.03,1.22,
53,메리츠금융지주,"48,500","1,500",-3.00%,500,"64,995","134,011",8.83,"496,763",9.14,16.06,
54,한화솔루션,"33,900","1,650",-4.64%,"5,000","64,843","191,278",18.32,"1,145,633",8.66,5.30,
55,F&F,"824,000","15,000",-1.79%,500,"63,130","7,661",14.73,"37,768",N/A,N/A,
56,메리츠화재,"51,700",700,+1.37%,500,"62,363","120,625",12.10,"684,238",10.73,16.91,
57,SK바이오팜,"79,600","3,500",-4.21%,500,"62,337","78,313",5.91,"266,204",-154.26,-135.18,
58,현대글로비스,"157,500","3,000",-1.87%,500,"59,062","37,500",42.76,"109,019",8.49,12.45,
59,한국조선해양,"83,000","2,600",-3.04%,"5,000","58,742","70,773",19.87,"317,034",-4.55,-7.42,
60,한온시스템,"10,800",500,-4.42%,100,"57,650","533,800",17.50,"1,226,530",19.71,5.09,
61,에스디바이오센서,"55,200",500,-0.90%,500,"57,006","103,271",7.27,"854,230",8.37,139.97,
62,LG유플러스,"13,050",300,-2.25%,"5,000","56,978","436,611",35.41,"1,003,643",14.52,6.46,
63,SKC,"146,000","3,500",-2.34%,"5,000","55,288","37,868",16.43,"237,584",29.74,2.21,
64,KODEX 200,"36,685",915,-2.43%,0,"54,129","147,550",5.81,"9,023,950",N/A,N/A,
65,맥쿼리인프라,"13,250",500,-3.64%,0,"53,642","404,846",13.61,"3,408,232",N/A,N/A,
66,현대제철,"39,800","1,000",-2.45%,"5,000","53,111","133,446",20.85,"642,201",6.09,-2.59,
67,CJ제일제당,"351,500","15,500",-4.22%,"5,000","52,915","15,054",22.38,"50,449",11.99,13.50,
68,미래에셋증권,"8,230",230,-2.72%,"5,000","52,287","635,316",12.93,"1,482,483",5.63,8.94,
69,강원랜드,"24,250",600,-2.41%,500,"51,881","213,940",19.30,"738,226",-157.47,-7.92,
70,코웨이,"70,100",500,-0.71%,500,"51,734","73,800",60.60,"171,479",11.61,31.51,
71,일진머티리얼즈,"102,500","3,500",-3.30%,500,"47,264","46,111",12.64,"324,210",74.38,7.23,
72,삼성중공업,"5,230",160,-2.97%,"1,000","46,024","880,000",14.12,"3,589,087",-2.13,-33.06,
73,현대건설,"40,350","1,600",-3.81%,"5,000","44,932","111,356",22.56,"762,212",26.83,1.84,
74,금호석유,"147,500","8,500",-5.45%,"5,000","44,686","30,296",19.64,"228,251",2.64,20.18,
75,DB손해보험,"61,600","1,800",-2.84%,500,"43,613","70,800",42.92,"163,628",5.47,9.08,
